SalesOrderItemNumber,DeliveryNumber,DeliveryItemNumber,Material,DeliveryQuantity,Volume,NetWeight,GrossWeight
100,2104468273,900026,6E+13,635,5362.88,1.13,141
100,2104468273,900027,6E+13,575,5328.32,1.07,129
130,2104468273,900028,6E+13,181,181000,88.5,108.456
130,2104468273,900029,6E+13,725,725000,360.5,397.32
70,2104468281,900021,209401,43,64565,14.218,32.1
70,2104468281,900022,209401,207,321635,73.422,105.9
50,2104468292,900021,6E+13,29,9489.32,1.436,15.936
50,2104468292,900022,6E+13,161,34180.58,6.584,21.084
80,2104468292,900023,6E+13,35,35000,27.5,42
80,2104468292,900024,6E+13,83,83000,70.7,85.2
80,2104468292,900025,6E+13,95,95000,81.5,96
160,2104468292,900026,234611,53,27680,2.996,19.464
160,2104468292,900027,234611,161,78710,8.612,29.508
40,2104468310,900021,237056,965,81800,9.14,26.52
40,2104468310,900022,237056,1349,112520,12.596,31.128
180,2104468313,900021,6E+13,215,108708.5,28.22,50.91
180,2104468313,900022,6E+13,515,256863.5,67.82,102.21
250,2104468313,900023,6E+13,17,9080,0.68,15.18
250,2104468313,900024,6E+13,41,17240,1.04,15.54
80,2104468323,900021,6E+13,89,70016,46.7,61.2
80,2104468323,900022,6E+13,41,32864,20.3,34.8
20,2104468332,900021,234611,2879,1362965,149.948,282.282
20,2104468332,900022,234611,11,7835,0.812,15.558
50,2104469102,900021,6E+13,53,5221.76,13.94,29.88
50,2104469102,900022,6E+13,53,5221.76,13.94,29.88
50,2104469102,900023,6E+13,1157,10322.24,323.06,372.12
50,2104469775,900021,6E+13,173,198536,74.42,99
50,2104469775,900022,6E+13,629,723848,275.06,327
20,2104481902,30,6E+13,365,6663.2,101.3,126.6
20,2104481903,30,6E+13,1229,10654.88,343.22,394.44
20,2104484104,30,6E+13,29,11840,2400.5,2823
30,2104484104,40,6E+13,29,11840,2400.5,2823
40,2104484104,50,6E+13,29,5684.192,0.524,18.048
50,2104484104,60,6E+13,29,12405.2,3.356,17.856
60,2104484104,70,230842,29,16829.6,2.876,18.168
70,2104484104,80,124685,29,5000,1840.1,1854.6
80,2104484104,90,6E+13,29,5000,0.524,17.04
90,2104484104,100,6E+13,29,5002.304,0.524,16.176
100,2104484104,110,6E+13,29,5002.304,0.524,16.176
30,2104484619,30,6E+13,149,5093.888,29.3,45.24
50,2104484619,40,6E+13,29,5110.88,7.22,22.44
100,2104484619,50,6E+13,581,668552,253.94,303
30,2104484622,30,6E+13,29,23576,13.7,28.2
510,2104484622,120,6E+13,53,35576,3.86,18.36
520,2104484622,130,6E+13,245,37400,11.3,33
680,2104484622,140,209401,7,8135,1.222,15.9
720,2104484622,150,6E+13,41,6360.8,1.148,16.44
730,2104484622,160,6E+13,11,5226.8,0.932,15.846
40,2104484622,40,6E+13,29,23576,13.7,28.2
50,2104484622,50,6E+13,53,26000,14.612,29.112
290,2104484622,60,237070,101,12680,1.364,16.152
460,2104484622,70,6E+13,77,26600,11.3,25.8
470,2104484622,80,551984,17,5000.012,1.004,22.2
480,2104484622,90,6E+13,209,63752,9.884,24.384
490,2104484622,100,6E+13,245,49893.2,9.86,24.36
500,2104484622,110,6E+13,257,39020,11.84,33.9
51,2104484625,30,6E+13,221,10616,2.444,15.648
150,2104484625,120,231207,105,39650,7.5,24.9
160,2104484625,130,230866,725,185000,127.94,142.44
170,2104484625,140,209364,149,57272,9.14,27.24
180,2104484625,150,209401,725,1133600,260.42,339
190,2104484625,160,241770,805,330000,28.5,63.8
200,2104484625,170,6E+13,29,12405.2,3.356,17.856
210,2104484625,180,6E+13,65,24800,3.14,18.72
220,2104484625,190,6E+13,77,29480,1.58,16.08
230,2104484625,200,6E+13,65,5000,0.56,17.94
240,2104484625,210,6E+13,65,5000,0.56,17.94
60,2104484625,40,6E+13,65,51440,33.5,48
250,2104484625,220,223575,205,26600,3.1,17.6
70,2104484625,50,6E+13,65,14600,2.84,17.34
80,2104484625,60,6E+13,41,11733.98,1.904,16.404
90,2104484625,70,6E+13,65,22280,3.26,17.76
100,2104484625,80,237070,5,5000,0.5,15
110,2104484625,90,237063,1157,87944,10.868,28.824
120,2104484625,100,232815,485,108680,48.5,115.32
140,2104484625,110,237056,3461,281480,31.604,56.472
100,2104484625,900021,237070,2549,208520,23.396,45.528
100,2104484625,900022,237070,917,77960,8.708,25.944
40,2104484627,30,6E+13,1733,12983.36,484.34,550.68
30,2104484629,30,237070,5,5000,0.5,15
40,2104484629,40,237063,11525,834440,104.18,153.24
50,2104484629,50,237056,11525,926600,104.18,153.24
30,2104484629,900021,237070,2309,189320,21.236,42.648
30,2104484629,900022,237070,20741,1663880,187.124,263.832
30,2104484631,30,6E+13,3605,4152200,1584.5,1815
140,2104484631,120,224381,125,71000,9.98,29.04
150,2104484631,130,241770,805,330000,28.5,63.8
160,2104484631,140,124266,365,5000,12420.5,12435
170,2104484631,150,6E+13,113,59432,30.416,44.916
40,2104484631,40,6E+13,5,5000,0.5,15
71,2104484631,50,6E+13,293,43880,13.46,36.6
81,2104484631,60,6E+13,293,43880,13.46,36.6
90,2104484631,70,6E+13,365,283640,198.5,213
100,2104484631,80,6E+13,125,43115,18.5,33
110,2104484631,90,6E+13,725,139679.6,28.58,43.08
120,2104484631,100,230859,725,185000,127.22,141.72
130,2104484631,110,240643,725,126212,4.82,29.4
40,2104484631,900021,6E+13,101,5443.52,27.38,44.76
40,2104484631,900022,6E+13,29,5110.88,7.22,22.44
20,2104484632,30,241763,5,5000,0.5,15
30,2104484632,40,237070,2261,185480,20.804,42.072
20,2104484632,900021,241763,385,54997.36,3.92,22.22
20,2104484632,900022,241763,2275,303668.44,20.93,58.13
20,2104484633,30,6E+13,173,58760,13.94,28.44
20,2104484634,30,240957,653,189680,64800.5,75831
110,2104484634,120,6E+13,65,5000,0.56,17.94
